12,8,4
12,8,4
12,8,4
12,8,4
12,8,4
12,7,4
12,7,4
12,7,4
12,7,4
12,7,3
12,7,3
12,7,3
12,7,3
12,7,3
12,7,3
12,7,3
13,7,4
75,42,23
75,42,22
74,42,22
74,41,22
74,41,22
47,22,14
47,22,14
47,22,14
12,8,3
12,8,3
12,8,3
12,8,3
12,7,3
12,7,3
12,7,3
12,7,3
12,7,3
12,7,3
12,7,3
12,7,3
12,7,3
12,7,3
12,7,3
13,7,3
13,7,3
75,42,21
47,23,12
47,22,12
12,8,3
12,8,3
12,8,3
12,8,3
12,7,3
12,7,3
12,7,3
12,7,3
12,7,3
12,7,3
12,7,3
12,7,3
12,7,3
12,7,3
12,7,3
12,7,3
13,7,3
75,42,19
47,23,11
47,22,11
47,22,11
12,8,3
12,8,3
12,8,3
12,8,3
12,8,3
12,7,3
12,7,3
12,7,3
12,7,3
12,7,3
12,7,3
12,7,3
12,7,3
12,7,3
12,7,3
12,7,3
13,7,3
75,43,18
75,42,18
47,23,11
47,22,11
95,76,24
95,76,24
95,75,24
95,75,24
12,8,3
12,8,2
12,8,2
12,8,2
12,7,2
12,7,2
12,7,2
12,7,2
12,7,2
12,7,2
12,7,2
12,7,2
12,7,2
12,7,2
12,7,2
12,7,2
13,7,3
75,43,17
75,42,17
47,23,10
47,22,10
95,75,22
12,8,2
12,8,2
12,8,2
12,8,2
12,8,2
12,7,2
12,7,2
12,7,2
12,7,2
12,7,2
12,7,2
12,7,2
12,7,2
12,7,2
12,7,2
12,7,2
13,7,2
75,43,16
75,42,16
47,23,9
47,22,9
47,22,9
95,75,21
12,8,2
12,8,2
12,8,2
12,8,2
12,8,2
12,7,2
12,7,2
12,7,2
12,7,2
12,7,2
12,7,2
12,7,2
12,7,2
12,7,2
12,7,2
13,7,2
13,7,2
75,43,15
75,42,15
47,23,9
47,22,9
91,114,24
91,114,24
91,113,24
91,113,24
92,113,24
92,112,24
92,112,24
95,75,20
12,8,2
12,8,2
12,8,2
12,8,2
12,8,2
12,7,2
12,7,2
12,7,2
12,7,2
75,43,14
47,23,8
47,22,8
91,113,22
95,75,19
12,8,2
12,8,2
12,8,2
12,8,2
12,8,2
12,7,2
12,7,2
12,7,2
12,7,2
75,43,13
47,23,8
47,22,8
24,-28,5
91,113,21
95,75,17
12,8,2
12,8,2
12,8,2
12,8,2
12,8,2
12,8,2
12,7,2
12,7,2
12,7,2
12,7,2
75,43,12
47,23,7
47,23,7
47,22,7
28,-28,5
27,-28,5
27,-28,5
27,-28,5
27,-28,5
27,-28,5
27,-28,5
27,-28,5
26,-28,5
26,-28,5
26,-28,5
26,-28,5
26,-28,5
26,-28,5
26,-28,5
25,-28,5
25,-28,5
25,-28,5
25,-28,5
25,-28,5
25,-28,5
25,-28,5
24,-28,5
24,-28,5
24,-28,5
24,-28,5
24,-28,5
24,-28,5
24,-28,5
24,-28,5
24,-30,5
91,113,20
95,75,16
12,8,2
12,8,2
12,8,2
12,8,2
12,8,2
12,7,2
12,7,2
12,7,2
12,7,2
75,43,11
